FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,271.3030419240305/-0.023500267029569956/-736.807997796107,0.0/0.0/0.0,B319BS010100
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,283.0896751007055/-0.07011504318319532/-738.7115255624874,0.0/0.0/0.0,B319BS010101
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,334.55779635349177/0.07399993577704377/-1241.2695219280085,0.0/0.0/0.0,B319BS010102
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,316.18476050457366/-0.04799920654296841/-1338.2719972382972,0.0/0.0/0.0,B319BS010103
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,311.92351634241754/-0.07400018310546841/-1236.6417476054244,0.0/0.0/0.0,B319BS010104
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-108.36274932424344/-0.47000009155273403/-1286.0346167425935,0.0/0.0/0.0,B319BS010105
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-111.96345861690168/-0.5019996795654293/-1284.2759978001975,0.0/0.0/0.0,B319BS010106
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-114.97741232251991/-0.4380005035400387/-1282.6356203336172,0.0/0.0/0.0,B319BS010107
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,203.7374113693793/-0.539000335693359/-1283.6617945615358,0.0/0.0/0.0,B319BS010108
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,197.50958020414956/-0.5910003814697262/-1283.6527492883693,0.0/0.0/0.0,B319BS010109
